Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Recursive,1510,810,15,2500,0.210137,5.32,-1
Breadth First Search - Recursive,810,110,15,2500,0.207769,6.305,-1
Breadth First Search - Recursive,110,1911,38,2500,0.194202,19.198,-1
Breadth First Search - Recursive,1911,1211,15,2500,0.186898,8.654,-1
Breadth First Search - Recursive,1211,511,15,2500,0.183558,7.403,-1
Breadth First Search - Recursive,511,2312,38,2500,0.201819,19.926,-1
Breadth First Search - Recursive,2312,1612,15,2500,0.190303,6.729,-1
Dijkstra,1584,884,17,106317,0.844214,6.413,-1
Dijkstra,884,184,15,37897,0.389325,5.562,-1
Dijkstra,184,1985,56,12043,0.288867,12.633,-1
Dijkstra,1985,1285,17,168189,1.271326,5.04,-1
Dijkstra,1285,585,17,85313,1.165246,6.217,-1
Dijkstra,585,2386,58,21011,0.546395,14.187,-1
Dijkstra,2386,1686,15,154952,2.158686,4.069,-1
Dijkstra,1686,986,21,105185,1.315172,5.875,-1
Dijkstra,986,286,15,43103,0.959098,5.29,-1
Dijkstra,286,2087,50,15328,0.610735,13.159,-1
Dijkstra,2087,1387,17,186709,2.860928,4.994,-1
Dijkstra,1387,687,19,88587,1.817014,5.477,-1
Dijkstra,687,2488,46,28318,0.967365,13.875,-1
Dijkstra,2488,1788,21,240206,3.450395,4.675,-1
Dijkstra,1788,1088,19,125030,1.803707,4.621,-1
Dijkstra,1088,388,19,62776,1.190348,5.166,-1
Dijkstra,388,2189,54,22318,0.539209,14.065,-1
Dijkstra,2189,1489,21,137094,1.871032,4.164,-1
Dijkstra,1489,789,15,55784,0.644402,4.832,-1
Dijkstra,789,89,17,29098,0.659739,4.785,-1
Dijkstra,89,1890,62,10118,0.475337,12.752,-1
Dijkstra,1890,1190,19,148517,2.124291,4.909,-1
Dijkstra,1190,490,17,79878,1.487295,4.67,-1
Dijkstra,490,2291,50,25099,0.660501,12.86,-1
Dijkstra,2291,1591,25,283194,3.493041,5.604,-1
Dijkstra,1591,891,19,143970,1.786897,6.339,-1
Dijkstra,891,191,19,45230,0.659341,5.246,-1
Dijkstra,191,1992,50,13701,0.750493,12.684,-1
Dijkstra,1992,1292,23,171804,2.324532,6.518,-1
Dijkstra,1292,592,17,80052,0.982102,4.317,-1
Dijkstra,592,2393,48,26752,0.612068,12.948,-1
Dijkstra,2393,1693,21,297567,3.136601,4.959,-1
Dijkstra,1693,993,19,112247,1.887103,5.894,-1
Dijkstra,993,293,17,50707,0.981713,4.278,-1
Dijkstra,293,2094,50,16557,0.462394,13.815,-1
Dijkstra,2094,1394,17,201294,2.833211,5.537,-1
Dijkstra,1394,694,19,103113,1.440776,5.181,-1
Dijkstra,694,2495,48,40023,0.510031,13.174,-1
Dijkstra,2495,1795,23,337091,3.778535,4.752,-1
Dijkstra,1795,1095,15,123643,0.965276,5.211,-1
Dijkstra,1095,395,23,94697,1.085709,5.83,-1
Dijkstra,395,2196,52,23131,0.400283,13.342,-1
Dijkstra,2196,1496,19,333849,2.493239,5.481,-1
Dijkstra,1496,796,21,120564,0.956261,5.993,-1
Dijkstra,796,96,23,50410,0.460137,5.94,-1
Dijkstra,96,1897,50,12218,0.249623,12.88,-1
Dijkstra,1897,1197,15,138788,1.072774,5.205,-1
Dijkstra,1197,497,21,78421,0.631129,5.081,-1
Dijkstra,497,2298,48,25538,0.3249,11.998,-1
Dijkstra,2298,1598,17,291962,2.204025,5.081,-1
Dijkstra,1598,898,19,133949,0.97428,5.797,-1
Dijkstra,898,198,19,72231,1.192547,5.316,-1
Dijkstra,198,1999,50,18979,0.488505,11.904,-1
Dijkstra,1999,1299,17,173115,1.83112,6.73,-1
Dijkstra,1299,599,17,88607,0.774708,4.241,-1
Dijkstra,599,2400,50,38806,0.422767,12.549,-1
Dijkstra,2400,1700,21,379227,2.906174,5.704,-1
Dijkstra,1700,1000,23,131856,1.058509,5.942,-1
Dijkstra,1000,300,19,71860,0.699927,4.99,-1
Dijkstra,300,2101,95,22899,0.371566,22.442,-1
Dijkstra,2101,1401,17,175416,1.450055,5.307,-1
Dijkstra,1401,701,21,78064,0.652016,5.79,-1
Dijkstra,701,1,19,26654,0.364861,4.215,-1
Dijkstra,1,1802,50,8797,0.246285,13.214,-1
Dijkstra,1802,1102,15,102458,0.902348,6.054,-1
Dijkstra,1102,402,15,42308,0.451747,5.445,-1
Dijkstra,402,2203,48,17045,0.283855,12.777,-1
Dijkstra,2203,1503,19,194659,1.702643,5.501,-1
Dijkstra,1503,803,19,99345,0.929779,5.141,-1
Dijkstra,803,103,17,20873,0.361531,4.355,-1
Dijkstra,103,1904,48,9755,0.317539,12.567,-1
Dijkstra,1904,1204,19,143488,1.331757,5.813,-1
Dijkstra,1204,504,17,60489,0.516622,4.361,-1
Dijkstra,504,2305,50,18354,0.256354,12.993,-1
Dijkstra,2305,1605,21,264553,1.73409,5.286,-1
Dijkstra,1605,905,19,87909,0.658585,4.582,-1
Dijkstra,905,205,21,37419,0.397256,4.725,-1
Dijkstra,205,2006,50,11293,0.234812,12.904,-1
Dijkstra,2006,1306,19,190356,1.436382,5.392,-1
Dijkstra,1306,606,21,72615,0.555991,4.789,-1
Dijkstra,606,2407,58,24901,0.304117,11.59,-1
Dijkstra,2407,1707,23,217518,1.489631,4.324,-1
Dijkstra,1707,1007,17,96871,0.76096,4.392,-1
Dijkstra,1007,307,19,31948,0.34393,4.644,-1
Dijkstra,307,2108,54,13468,0.255234,11.907,-1
Dijkstra,2108,1408,17,169024,1.170647,4.566,-1
Dijkstra,1408,708,19,66200,0.532643,4.96,-1
Dijkstra,708,8,17,17610,0.250897,4.338,-1
Dijkstra,8,1809,56,7574,0.197118,12.827,-1
Dijkstra,1809,1109,19,139678,0.921413,4.783,-1
Dijkstra,1109,409,19,48786,0.415134,4.913,-1
Dijkstra,409,2210,52,10668,0.217072,10.991,-1
Dijkstra,2210,1510,19,209406,1.35957,4.916,-1
Dijkstra,1510,810,21,115622,0.773097,5.643,-1
Dijkstra,810,110,19,36083,0.352736,4.846,-1
Dijkstra,110,1911,54,8650,0.202877,11.705,-1
Dijkstra,1911,1211,19,134135,0.897394,5.272,-1
Dijkstra,1211,511,23,63440,0.486503,6.156,-1
Dijkstra,511,2312,46,17200,0.242873,11.671,-1
Dijkstra,2312,1612,17,210070,1.33479,5.14,-1
Astar,1584,884,15,15,0.185643,8.388,827
Astar,884,184,15,15,0.163067,5.901,824
Astar,184,1985,38,53067,0.453955,18.984,14964
Astar,1985,1285,15,15,0.159648,6.987,825
Astar,1285,585,15,15,0.159714,8.712,827
Astar,585,2386,38,166118,1.096772,19.692,14965
Astar,2386,1686,15,15,0.190216,4.598,823
Astar,1686,986,15,15,0.191951,7.17,826
Astar,986,286,15,15,0.212061,5.934,824
Astar,286,2087,38,77940,0.732453,20.763,14966
Astar,2087,1387,15,15,0.20599,6.783,825
Astar,1387,687,15,15,0.261524,7.383,826
Astar,687,2488,38,243834,2.262866,17.357,14963
Astar,2488,1788,15,15,0.191863,6.976,825
Astar,1788,1088,15,15,0.196592,6.683,825
Astar,1088,388,15,15,0.185193,7.845,826
Astar,388,2189,38,123272,1.044129,19.767,14965
Astar,2189,1489,15,15,0.19686,5.217,824
Astar,1489,789,15,15,0.218614,4.925,823
Astar,789,89,15,15,0.251581,5.162,824
Astar,89,1890,38,57148,0.70652,17.066,14963
Astar,1890,1190,15,15,0.188896,6.436,825
Astar,1190,490,15,15,0.179816,7.213,826
Astar,490,2291,38,213201,1.666793,16.958,14962
Astar,2291,1591,15,15,0.196701,7.127,826
Astar,1591,891,15,15,0.189363,9.311,828
Astar,891,191,15,15,0.208725,6.693,825
Astar,191,1992,38,78051,0.834444,16.148,14962
Astar,1992,1292,15,15,0.207957,7.515,826
Astar,1292,592,15,15,0.210703,6.88,825
Astar,592,2393,38,385986,3.207421,17.999,14963
Astar,2393,1693,15,15,0.214624,8.235,827
Astar,1693,993,15,15,0.269659,6.579,825
Astar,993,293,15,15,0.223339,5.381,824
Astar,293,2094,38,140879,1.427784,18.85,14964
Astar,2094,1394,15,15,0.166512,6.426,825
Astar,1394,694,15,15,0.174468,7.184,826
Astar,694,2495,38,710944,4.561911,19.134,14965
Astar,2495,1795,15,15,0.156614,9.533,828
Astar,1795,1095,15,15,0.156913,5.358,824
Astar,1095,395,15,15,0.157491,9.219,828
Astar,395,2196,38,289139,1.912135,18.41,14964
Astar,2196,1496,15,15,0.168454,9.816,828
Astar,1496,796,15,15,0.157127,7.776,826
Astar,796,96,15,15,0.156434,7.086,826
Astar,96,1897,38,78508,0.625936,19.588,14965
Astar,1897,1197,15,15,0.158378,5.973,824
Astar,1197,497,15,15,0.156825,6.429,825
Astar,497,2298,38,577901,3.82454,20.809,14966
Astar,2298,1598,15,15,0.158676,8.2,827
Astar,1598,898,15,15,0.15726,6.742,825
Astar,898,198,15,15,0.157489,7.23,826
Astar,198,1999,38,110132,0.856505,13.756,14959
Astar,1999,1299,15,15,0.161849,7.557,826
Astar,1299,599,15,15,0.159432,5.057,824
Astar,599,2400,38,1126175,7.49305,17.53,14963
Astar,2400,1700,15,15,0.158735,9.629,828
Astar,1700,1000,15,15,0.158662,6.461,825
Astar,1000,300,15,15,0.16355,6.079,825
Astar,300,2101,87,130275,0.977576,34.995,104473
Astar,2101,1401,15,15,0.168,7.049,826
Astar,1401,701,15,15,0.161682,6.02,825
Astar,701,1,15,15,0.159608,8.458,827
Astar,1,1802,38,3517,0.17785,21.868,14967
Astar,1802,1102,15,15,0.158397,6.888,825
Astar,1102,402,15,15,0.159769,5.61,824
Astar,402,2203,38,337203,2.172289,15.065,14961
Astar,2203,1503,15,15,0.163088,6.953,825
Astar,1503,803,15,15,0.159148,8.26,827
Astar,803,103,15,15,0.159774,5.006,824
Astar,103,1904,38,12508,0.226536,15.645,14961
Astar,1904,1204,15,15,0.158157,7.771,826
Astar,1204,504,15,15,0.15857,6.549,825
Astar,504,2305,38,509057,3.34136,16.343,14962
Astar,2305,1605,15,15,0.160457,8.189,827
Astar,1605,905,15,15,0.158056,5.52,824
Astar,905,205,15,15,0.158861,5.606,824
Astar,205,2006,38,48094,0.42829,19.004,14965
Astar,2006,1306,15,15,0.158254,7.773,826
Astar,1306,606,15,15,0.157607,7.083,826
Astar,606,2407,38,471819,2.946175,19.628,14965
Astar,2407,1707,15,15,0.16055,5.647,824
Astar,1707,1007,15,15,0.158101,6.312,825
Astar,1007,307,15,15,0.158387,5.714,824
Astar,307,2108,38,105801,0.755345,21.596,14967
Astar,2108,1408,15,15,0.159055,6.891,825
Astar,1408,708,15,15,0.158181,6.397,825
Astar,708,8,15,15,0.158249,6.584,825
Astar,8,1809,38,5267,0.183079,17.556,14963
Astar,1809,1109,15,15,0.161338,7.115,826
Astar,1109,409,15,15,0.158956,7.847,826
Astar,409,2210,38,133144,0.89997,17.547,14963
Astar,2210,1510,15,15,0.162623,6.406,825
Astar,1510,810,15,15,0.157585,8.831,827
Astar,810,110,15,15,0.157906,7.462,826
Astar,110,1911,38,12643,0.225923,16.487,14962
Astar,1911,1211,15,15,0.160517,6.115,825
Astar,1211,511,15,15,0.159278,7.988,826
Astar,511,2312,38,148004,0.972124,17.8,14963
Astar,2312,1612,15,15,0.165078,7.648,826
