Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Depth First Search - Iterative,810,110,15,15,0.417993,6.305,-1
Depth First Search - Iterative,110,1911,44,2421,0.308075,23.07,-1
Depth First Search - Iterative,1911,1211,15,15,0.184407,8.654,-1
Depth First Search - Iterative,1211,511,15,15,0.218969,7.403,-1
Depth First Search - Iterative,511,2312,60,2397,0.279545,23.206,-1
Depth First Search - Iterative,2312,1612,15,15,0.213247,3.746,-1
Depth First Search - Recursive,1584,884,769,-620751420,0.462398,384.363,-1
Depth First Search - Recursive,884,184,769,-620746420,0.227113,379.209,-1
Depth First Search - Recursive,184,1985,1800,-620741420,0.328187,910.29,-1
Depth First Search - Recursive,1985,1285,771,-620736420,0.233355,365.588,-1
Depth First Search - Recursive,1285,585,771,-620731420,0.220171,391.269,-1
Depth First Search - Recursive,585,2386,1800,-620726420,0.245454,920.308,-1
Depth First Search - Recursive,2386,1686,773,-620721420,0.285058,nan,-1
Depth First Search - Recursive,1686,986,773,-620716420,0.261198,382.227,-1
Depth First Search - Recursive,986,286,773,-620711420,0.34932,392.981,-1
Depth First Search - Recursive,286,2087,1800,-620706420,0.28477,911.527,-1
Depth First Search - Recursive,2087,1387,775,-620701420,0.285691,374.012,-1
Depth First Search - Recursive,1387,687,775,-620696420,0.240289,396.164,-1
Depth First Search - Recursive,687,2488,1800,-620691420,0.236984,nan,-1
Depth First Search - Recursive,2488,1788,701,-620686420,0.235759,nan,-1
Depth First Search - Recursive,1788,1088,777,-620681420,0.210729,379.169,-1
Depth First Search - Recursive,1088,388,777,-620676420,0.215043,394.313,-1
Depth First Search - Recursive,388,2189,1800,-620671420,0.224643,908.254,-1
Depth First Search - Recursive,2189,1489,779,-620666420,0.996451,365.49,-1
Depth First Search - Recursive,1489,789,779,-620661420,0.523928,395.947,-1
Depth First Search - Recursive,789,89,779,-620656420,0.24935,377.176,-1
Depth First Search - Recursive,89,1890,1800,-620651420,0.29677,920.296,-1
