Depth First Search - Iterative,44,44,0.269943,-1.000000000,-1.000000000
Depth First Search - Recursive,0,2052,0.242141,0.000000000,0.165000000
Breadth First Search - Iterative,0,0,0.212647,0.000000000,0.702000000
Breadth First Search - Recursive,38,2500,0.209522,-1.000000000,-1.000000000
Dijkstra,46,12519,0.216636,12.527000000,nan
Astar,38,88002,0.702449,17.603000000,14963.000000000
Depth First Search - Iterative,15,15,0.203956,-1.000000000,-1.000000000
Depth First Search - Recursive,0,2311,0.189335,0.000000000,0.000000000
Breadth First Search - Iterative,0,0,0.198662,0.000000000,0.150000000
Breadth First Search - Recursive,15,2500,0.194559,-1.000000000,-1.000000000
Dijkstra,19,106319,0.717753,5.107000000,0.000000000
Astar,15,96614,0.726693,9.213000000,828.000000000
Depth First Search - Iterative,15,15,0.190793,-1.000000000,-1.000000000
Depth First Search - Recursive,0,1279,0.204142,0.000000000,0.000000000
Breadth First Search - Iterative,0,0,0.321494,0.000000000,232034841261233381458626230063008013619463016085363428540969635948851433046016.000000000
Breadth First Search - Recursive,15,2500,0.315414,-1.000000000,-1.000000000
Dijkstra,21,119335,0.850464,5.788000000,0.000000000
Astar,15,551444,3.718277,7.284000000,826.000000000
Depth First Search - Iterative,15,15,0.190023,-1.000000000,-1.000000000
Depth First Search - Recursive,0,0,0.273646,0.000000000,0.246000000
Breadth First Search - Iterative,0,0,0.254240,0.000000000,0.000000000
Breadth First Search - Recursive,15,189,0.220643,-1.000000000,-1.000000000
Dijkstra,17,259263,1.790039,5.859000000,0.246000000
Astar,15,7427800,55.780074,6.122000000,825.000000000
Depth First Search - Iterative,15,15,0.205886,-1.000000000,-1.000000000
Depth First Search - Recursive,0,1210,0.222849,0.000000000,0.000000000
Breadth First Search - Iterative,0,0,0.246674,0.000000000,0.000000000
Breadth First Search - Recursive,15,2500,0.256812,-1.000000000,-1.000000000
Dijkstra,21,69505,0.564314,5.032000000,-2.003892000
Astar,15,34111,0.355112,7.716000000,826.000000000
Depth First Search - Iterative,15,15,0.244020,-1.000000000,-1.000000000
Depth First Search - Recursive,0,168,0.234641,0.000000000,0.530000000
Breadth First Search - Iterative,0,0,0.445154,0.000000000,-2.003892000
Breadth First Search - Recursive,15,2500,0.269852,-1.000000000,-1.000000000
Dijkstra,17,189546,1.338457,4.368000000,0.788000000
Astar,15,3768679,25.803607,5.742000000,824.000000000
Depth First Search - Iterative,15,15,0.222574,-1.000000000,-1.000000000
Depth First Search - Recursive,0,0,0.335089,0.000000000,0.406000000
Breadth First Search - Iterative,0,0,0.341114,0.000000000,0.741000000
Breadth First Search - Recursive,15,2500,0.293729,-1.000000000,-1.000000000
Dijkstra,23,164568,1.134587,4.538000000,0.000000000
Astar,15,1362476,9.626620,6.899000000,825.000000000
Depth First Search - Iterative,15,15,0.227319,-1.000000000,-1.000000000
Depth First Search - Recursive,0,9792,0.254167,0.000000000,0.000000000
Breadth First Search - Iterative,0,0,0.267569,0.000000000,0.000000000
Breadth First Search - Recursive,15,2500,0.262538,-1.000000000,-1.000000000
Dijkstra,23,51344,0.422549,5.511000000,0.246000000
Astar,15,23487,0.269031,7.798000000,826.000000000
Depth First Search - Iterative,15,15,0.211986,-1.000000000,-1.000000000
Depth First Search - Recursive,0,1157,0.257601,0.000000000,0.000000000
Breadth First Search - Iterative,0,0,0.238209,0.000000000,0.096000000
Breadth First Search - Recursive,15,2500,0.252117,-1.000000000,-1.000000000
Dijkstra,17,196053,1.266967,4.671000000,0.935000000
Astar,15,2251735,15.355408,7.569000000,826.000000000
Depth First Search - Iterative,15,15,0.208022,-1.000000000,-1.000000000
Depth First Search - Recursive,0,1928,0.272101,0.000000000,0.000000000
Breadth First Search - Iterative,0,0,0.337952,0.000000000,0.512000000
Breadth First Search - Recursive,15,2500,0.301701,-1.000000000,-1.000000000
Dijkstra,19,177601,1.208474,5.622000000,0.000000000
Astar,15,1559581,10.223386,6.394000000,825.000000000
Depth First Search - Iterative,15,15,0.232453,-1.000000000,-1.000000000
Depth First Search - Recursive,0,1783,0.229446,-26867924964182359245889037361767837970272706412804575973854690133749943150661203496502075292144761843492325641562915836083051000861468099904873794686156800.000000000,0.000000000
Breadth First Search - Iterative,15,3770841,22.540200,-1.000000000,-1.000000000
Breadth First Search - Recursive,15,2500,0.227254,-1.000000000,-1.000000000
Dijkstra,15,111697,0.959354,6.237000000,-1.000000000
Astar,15,1209427,10.025926,6.418000000,825.000000000
Depth First Search - Iterative,15,15,0.201177,-1.000000000,-1.000000000
Depth First Search - Recursive,0,0,0.210800,0.000000000,0.810000000
Breadth First Search - Iterative,15,2760967,15.703730,-1.000000000,-1.000000000
Breadth First Search - Recursive,15,2500,0.206330,-1.000000000,-1.000000000
Dijkstra,21,296773,2.571878,4.821000000,-1.000000000
Astar,15,7444662,72.788370,8.384000000,827.000000000
Depth First Search - Iterative,54,54,0.188247,-1.000000000,-1.000000000
Depth First Search - Recursive,0,0,0.199078,0.000000000,0.230000000
Depth First Search - Iterative,1603,903,15,15,0.197325,-1.000000000,-1.000000000
