Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Depth First Search - Iterative,2210,1510,517,517,0.249653,119.642,-1
Depth First Search - Iterative,1510,810,829,1718,0.334757,280.665,-1
Depth First Search - Iterative,810,110,1231,1231,0.666881,476.313,-1
Depth First Search - Iterative,110,1911,38,2426,0.403948,19.818,-1
Depth First Search - Iterative,1911,1211,625,1914,0.345618,180.48,-1
Depth First Search - Iterative,1211,511,1025,1025,0.313868,-2.6868E+154,-1
Depth First Search - Iterative,511,2312,38,2426,0.345211,17.73890397,-1
Depth First Search - Iterative,2312,1612,421,2110,0.32011,nan,-1
Depth First Search - Recursive,1584,884,15,-620748920,0.362898,7.021,-1
Depth First Search - Recursive,884,184,15,-620743920,0.424225,5.616,-1
Depth First Search - Recursive,184,1985,1984,-620738920,0.3296,982.674,-1
Depth First Search - Recursive,1985,1285,15,-620733920,0.315028,4.797,-1
Depth First Search - Recursive,1285,585,15,-620728920,0.452128,5.387,-1
Depth First Search - Recursive,585,2386,2386,-620723920,0.335928,1183.854,-1
Depth First Search - Recursive,2386,1686,15,-620718920,0.309095,6.284,-1
Depth First Search - Recursive,1686,986,15,-620713920,0.317254,6.929,-1
Depth First Search - Recursive,986,286,15,-620708920,0.375328,7.329,-1
Depth First Search - Recursive,286,2087,2086,-620703920,0.345385,1036.024,-1
Depth First Search - Recursive,2087,1387,15,-620698920,0.435319,8.671,-1
Depth First Search - Recursive,1387,687,15,-620693920,0.374359,4.842,-1
Depth First Search - Recursive,687,2488,2488,-620688920,0.304824,nan,-1
Depth First Search - Recursive,2488,1788,15,-620683920,0.282633,3.277,-1
Depth First Search - Recursive,1788,1088,15,-620678920,0.306269,6.253,-1
Depth First Search - Recursive,1088,388,15,-620673920,0.302899,7.872,-1
Depth First Search - Recursive,388,2189,2188,-620668920,0.942783,3984552505828200828564107069941569897384535513039006938413503304909925276264085257530063223185998843369410577515277111489873066003141793597686175776129681071703340794541555235289171244107128462530936933403808792365204949832198747881292370775110791987200.000000000,-1
Depth First Search - Recursive,2189,1489,15,-620663920,1.142081,7.305,-1
Depth First Search - Recursive,1489,789,15,-620658920,1.06972,5.312,-1
Depth First Search - Recursive,789,89,15,-620653920,0.327719,6.435,-1
Depth First Search - Recursive,89,1890,1890,-620648920,0.369453,9823958314133492142404041954916075342166187502583267300020124980851813607105197379955045139390649445016309274376225267736922140017698807171767149175933489442750058820962109153502574895289342630676542239531344854266297743400158953511832889840649038200832.000000000,-1
Depth First Search - Recursive,1890,1190,15,-620643920,0.321054,7.202,-1
Depth First Search - Recursive,1190,490,15,-620638920,0.310879,7.665,-1
