Type,Start,End,Length,Nodes Explored,Time,Distance,Cost
Breadth First Search - Recursive,1306,606,15,2500,0.663538,6.806,-1
Breadth First Search - Recursive,606,2407,38,2500,0.846577,16.023,-1
Breadth First Search - Recursive,2407,1707,15,2500,0.532642,8.247,-1
Breadth First Search - Recursive,1707,1007,15,2500,0.642204,6.123,-1
Breadth First Search - Recursive,1007,307,15,2500,0.611433,6.027,-1
Breadth First Search - Recursive,307,2108,38,2500,0.58899,15.499,-1
Breadth First Search - Recursive,2108,1408,15,2500,0.47768,7.734,-1
Breadth First Search - Recursive,1408,708,15,2500,0.364268,6.116,-1
Breadth First Search - Recursive,708,8,15,2500,0.409105,6.622,-1
Breadth First Search - Recursive,8,1809,38,2500,0.526553,18.725,-1
Breadth First Search - Recursive,1809,1109,15,2500,0.376141,7.569,-1
Breadth First Search - Recursive,1109,409,15,2500,0.409702,7.084,-1
Breadth First Search - Recursive,409,2210,38,2500,0.262356,18.696,-1
Breadth First Search - Recursive,2210,1510,15,2500,0.278844,5.785,-1
Breadth First Search - Recursive,1510,810,15,2500,0.289168,5.32,-1
Breadth First Search - Recursive,810,110,15,2500,0.262242,6.305,-1
Breadth First Search - Recursive,110,1911,38,2500,0.259075,19.198,-1
Breadth First Search - Recursive,1911,1211,15,2500,0.256112,8.654,-1
Breadth First Search - Recursive,1211,511,15,2500,0.260347,7.403,-1
Breadth First Search - Recursive,511,2312,38,2500,0.265015,19.456,-1
Breadth First Search - Recursive,2312,1612,15,2500,0.248676,6.4,-1
Dijkstra,1584,884,17,103486,3.130475,6.306,-1
Dijkstra,884,184,15,33189,1.690143,5.121,-1
Dijkstra,184,1985,50,11220,0.536357,12.884,-1
Dijkstra,1985,1285,17,159969,5.920701,4.717,-1
Dijkstra,1285,585,17,81512,3.621059,6.198,-1
Dijkstra,585,2386,46,20131,1.060171,13.068,-1
Dijkstra,2386,1686,21,158092,6.318796,3.901,-1
Dijkstra,1686,986,17,100043,4.224661,6.455,-1
Dijkstra,986,286,17,43683,3.262276,4.709,-1
Dijkstra,286,2087,50,14784,1.476758,12.147,-1
Dijkstra,2087,1387,19,181731,9.825307,4.851,-1
Dijkstra,1387,687,19,81689,4.869931,5.489,-1
Dijkstra,687,2488,46,27725,2.493955,12.231,-1
Dijkstra,2488,1788,17,234260,13.91995,4.843,-1
Dijkstra,1788,1088,17,122430,6.756937,5.367,-1
Dijkstra,1088,388,19,63523,3.916567,4.494,-1
Dijkstra,388,2189,46,21640,1.528486,11.161,-1
Dijkstra,2189,1489,17,124060,5.046892,4.825,-1
Dijkstra,1489,789,15,52087,2.072774,4.925,-1
Dijkstra,789,89,23,29205,1.735416,4.53,-1
Dijkstra,89,1890,46,10115,0.992377,12.564,-1
Dijkstra,1890,1190,17,138975,8.607691,5.156,-1
Dijkstra,1190,490,17,76168,4.582529,4.537,-1
Dijkstra,490,2291,50,25640,1.622463,12.183,-1
Dijkstra,2291,1591,23,259996,11.225342,5.989,-1
Dijkstra,1591,891,25,139135,8.482169,6.626,-1
Dijkstra,891,191,19,46344,3.188727,4.716,-1
Dijkstra,191,1992,46,14697,1.084898,13.507,-1
Dijkstra,1992,1292,17,164081,7.062337,6.615,-1
Dijkstra,1292,592,17,75184,3.721472,5.236,-1
Dijkstra,592,2393,46,27251,1.918216,12.744,-1
Dijkstra,2393,1693,17,272522,15.654579,5.403,-1
Dijkstra,1693,993,19,110524,5.70196,5.61,-1
Dijkstra,993,293,17,51616,3.250135,4.287,-1
Dijkstra,293,2094,48,19165,1.380171,12.619,-1
Dijkstra,2094,1394,17,186223,10.21376,5.565,-1
Dijkstra,1394,694,19,93514,4.162039,5.604,-1
Dijkstra,694,2495,54,42295,1.768376,13.789,-1
Dijkstra,2495,1795,21,304447,10.680934,5.465,-1
Dijkstra,1795,1095,15,125034,4.559066,5.09,-1
Dijkstra,1095,395,21,95825,3.564531,5.516,-1
Dijkstra,395,2196,56,25327,1.061146,13.757,-1
Dijkstra,2196,1496,21,312145,9.318791,5.624,-1
Dijkstra,1496,796,19,122993,3.797086,5.479,-1
Dijkstra,796,96,23,51020,1.645809,5.517,-1
Dijkstra,96,1897,52,13082,0.58412,13.237,-1
Dijkstra,1897,1197,15,139665,4.299354,5.002,-1
Dijkstra,1197,497,21,80374,2.496219,5.362,-1
Dijkstra,497,2298,56,28194,0.997405,13.429,-1
Dijkstra,2298,1598,17,273134,8.0213,5.102,-1
Dijkstra,1598,898,17,137655,4.063265,5.734,-1
Dijkstra,898,198,19,66467,5.948449,5.849,-1
Dijkstra,198,1999,54,20775,1.327802,13.731,-1
Dijkstra,1999,1299,25,181618,6.866852,5.813,-1
Dijkstra,1299,599,17,89693,3.061245,4.577,-1
Dijkstra,599,2400,50,37107,1.328606,12.489,-1
Dijkstra,2400,1700,21,345710,12.581397,5.587,-1
Dijkstra,1700,1000,15,135016,4.253847,6.156,-1
Dijkstra,1000,300,17,70348,2.514547,5.262,-1
Dijkstra,300,2101,93,26002,1.146463,21.01,-1
Dijkstra,2101,1401,17,234185,7.335223,6.017,-1
Dijkstra,1401,701,21,108956,3.372551,5.701,-1
Dijkstra,701,1,19,33223,1.268284,4.555,-1
Dijkstra,1,1802,48,7598,0.448906,11.509,-1
Dijkstra,1802,1102,15,157985,5.039604,6.041,-1
Dijkstra,1102,402,15,51295,1.905539,5.225,-1
Dijkstra,402,2203,48,16969,0.808637,12.724,-1
Dijkstra,2203,1503,15,255445,8.486434,6.044,-1
Dijkstra,1503,803,17,129513,4.369225,5.154,-1
Dijkstra,803,103,17,24393,1.097572,4.36,-1
Dijkstra,103,1904,48,7665,0.678008,11.598,-1
Dijkstra,1904,1204,19,191590,5.679336,5.779,-1
Dijkstra,1204,504,19,61085,1.899124,4.475,-1
Dijkstra,504,2305,48,19111,0.68389,13.038,-1
Dijkstra,2305,1605,21,271186,8.159275,5.991,-1
Dijkstra,1605,905,19,102909,3.048187,4.684,-1
Dijkstra,905,205,19,32660,1.075801,4.876,-1
Dijkstra,205,2006,50,8456,0.403164,12.86,-1
Dijkstra,2006,1306,21,210482,7.464419,6.014,-1
Dijkstra,1306,606,19,90151,2.689521,4.85,-1
Dijkstra,606,2407,44,31192,1.025499,12.201,-1
Dijkstra,2407,1707,15,217685,6.438753,5.284,-1
Dijkstra,1707,1007,17,115941,3.597287,4.832,-1
Dijkstra,1007,307,15,38289,1.333311,5.189,-1
Dijkstra,307,2108,48,12597,0.52918,12.786,-1
Dijkstra,2108,1408,17,181533,5.352254,4.59,-1
Dijkstra,1408,708,17,62653,1.893449,5.321,-1
Dijkstra,708,8,17,19982,0.701739,4.21,-1
Dijkstra,8,1809,52,6772,0.34236,12.497,-1
Dijkstra,1809,1109,19,147972,4.264339,5.135,-1
Dijkstra,1109,409,19,49280,1.507969,5.458,-1
Dijkstra,409,2210,52,10693,0.460197,12.225,-1
Dijkstra,2210,1510,17,217575,6.24343,4.864,-1
Dijkstra,1510,810,17,120423,3.450878,6.31,-1
Dijkstra,810,110,19,29692,0.968444,4.718,-1
Dijkstra,110,1911,48,7511,0.362379,11.696,-1
Dijkstra,1911,1211,19,135096,3.902305,5.298,-1
Dijkstra,1211,511,23,66942,1.968434,5.771,-1
Dijkstra,511,2312,60,16383,0.596539,12.979,-1
Dijkstra,2312,1612,23,228307,6.567947,4.991,-1
Astar,1584,884,15,15,0.169696,8.388,827
Astar,884,184,15,15,0.164383,5.901,824
Astar,184,1985,38,53073,1.690121,18.147,14964
Astar,1985,1285,15,15,0.161208,6.987,825
Astar,1285,585,15,15,0.169655,8.712,827
Astar,585,2386,38,166139,6.028612,20.395,14966
Astar,2386,1686,15,15,0.207853,4.598,823
Astar,1686,986,15,15,0.221386,7.17,826
Astar,986,286,15,15,0.21803,5.934,824
Astar,286,2087,38,77961,2.810191,15.465,14961
Astar,2087,1387,15,15,0.17941,6.783,825
Astar,1387,687,15,15,0.235221,7.383,826
Astar,687,2488,38,243835,9.893694,19.561,14965
Astar,2488,1788,15,15,0.193736,6.976,825
Astar,1788,1088,15,15,0.202775,6.683,825
Astar,1088,388,15,15,0.192835,7.845,826
Astar,388,2189,38,123305,5.143688,18.134,14964
Astar,2189,1489,15,15,0.195907,5.217,824
Astar,1489,789,15,15,0.236712,4.925,823
Astar,789,89,15,15,0.223689,5.162,824
Astar,89,1890,38,57148,2.315688,14.184,14960
Astar,1890,1190,15,15,0.187427,6.436,825
Astar,1190,490,15,15,0.181577,7.213,826
Astar,490,2291,38,213207,8.333967,18.36,14964
Astar,2291,1591,15,15,0.206682,7.127,826
Astar,1591,891,15,15,0.202705,9.311,828
Astar,891,191,15,15,0.183106,6.693,825
Astar,191,1992,38,78056,3.242585,21.103,14967
Astar,1992,1292,15,15,0.199783,7.515,826
Astar,1292,592,15,15,0.194523,6.88,825
Astar,592,2393,38,385997,15.009161,19.522,14965
Astar,2393,1693,15,15,0.187575,8.235,827
Astar,1693,993,15,15,0.186047,6.579,825
Astar,993,293,15,15,0.215756,5.381,824
Astar,293,2094,38,140889,5.14922,15.978,14961
Astar,2094,1394,15,15,0.179604,6.426,825
Astar,1394,694,15,15,0.181499,7.184,826
Astar,694,2495,38,710932,20.865775,18.308,14964
Astar,2495,1795,15,15,0.161554,9.533,828
Astar,1795,1095,15,15,0.162397,5.358,824
Astar,1095,395,15,15,0.168893,9.219,828
Astar,395,2196,38,289147,8.515899,20.597,14966
Astar,2196,1496,15,15,0.163216,9.816,828
Astar,1496,796,15,15,0.16975,7.776,826
Astar,796,96,15,15,0.16098,7.086,826
Astar,96,1897,38,78508,2.446976,20.422,14966
Astar,1897,1197,15,15,0.161587,5.973,824
Astar,1197,497,15,15,0.167317,6.429,825
Astar,497,2298,38,577899,17.077881,16.656,14962
Astar,2298,1598,15,15,0.164835,8.2,827
Astar,1598,898,15,15,0.164074,6.742,825
Astar,898,198,15,15,0.162197,7.23,826
Astar,198,1999,38,110133,3.360641,19.723,14965
Astar,1999,1299,15,15,0.164043,7.557,826
Astar,1299,599,15,15,0.166687,5.057,824
Astar,599,2400,38,1126175,33.330679,16.16,14962
Astar,2400,1700,15,15,0.162445,9.629,828
Astar,1700,1000,15,15,0.167535,6.461,825
Astar,1000,300,15,15,0.164288,6.079,825
Astar,300,2101,87,130533,3.976764,33.904,104472
Astar,2101,1401,15,15,0.167413,7.049,826
Astar,1401,701,15,15,0.165695,6.02,825
Astar,701,1,15,15,0.162768,8.458,827
Astar,1,1802,38,3517,0.261491,19.237,14965
Astar,1802,1102,15,15,0.16371,6.888,825
Astar,1102,402,15,15,0.164368,5.61,824
Astar,402,2203,38,333558,9.796717,16.029,14962
Astar,2203,1503,15,15,0.163489,6.953,825
Astar,1503,803,15,15,0.165041,8.26,827
Astar,803,103,15,15,0.163909,5.006,824
Astar,103,1904,38,12438,0.511785,16.67,14962
Astar,1904,1204,15,15,0.165889,7.771,826
Astar,1204,504,15,15,0.162777,6.549,825
Astar,504,2305,38,481922,14.074382,18.897,14964
Astar,2305,1605,15,15,0.164478,8.189,827
Astar,1605,905,15,15,0.163965,5.52,824
Astar,905,205,15,15,0.162878,5.606,824
Astar,205,2006,38,47701,1.525892,15.737,14961
Astar,2006,1306,15,15,0.162646,7.773,826
Astar,1306,606,15,15,0.164689,7.083,826
Astar,606,2407,38,467616,13.63067,18.17,14964
Astar,2407,1707,15,15,0.163701,5.647,824
Astar,1707,1007,15,15,0.165077,6.312,825
Astar,1007,307,15,15,0.162849,5.714,824
Astar,307,2108,38,115423,3.466653,15.275,14961
Astar,2108,1408,15,15,0.163663,6.891,825
Astar,1408,708,15,15,0.163851,6.397,825
Astar,708,8,15,15,0.165197,6.584,825
Astar,8,1809,38,5267,0.310366,17.233,14963
Astar,1809,1109,15,15,0.162744,7.115,826
Astar,1109,409,15,15,0.167314,7.847,826
Astar,409,2210,38,131581,3.903107,19.421,14965
Astar,2210,1510,15,15,0.162947,6.406,825
Astar,1510,810,15,15,0.166565,8.831,827
Astar,810,110,15,15,0.163598,7.462,826
Astar,110,1911,38,12607,0.514056,20.618,14966
Astar,1911,1211,15,15,0.163128,6.115,825
Astar,1211,511,15,15,0.16374,7.988,826
Astar,511,2312,38,147422,4.352856,18.53,14964
Astar,2312,1612,15,15,0.163242,7.648,826
