Depth First Search - Iterative,380,2181,38,2426,0.338018,12.313000000,-1.000000000
Depth First Search - Recursive,380,2181,2180,5000,0.315672,-231584178474632390847141970017375815706539969331281128078915168015826259279872.000000000,-1.000000000
Breadth First Search - Iterative,380,2181,38,1605,0.240811,-26867957449262319887395484436543959173587913196190669250333736305546705629992009926410814917248359543301379552173914624795723297349469948220298119165771776.000000000,-1.000000000
Breadth First Search - Recursive,380,2181,38,2500,0.233974,15.240000000,-1.000000000
Dijkstra,380,2181,58,15059,0.602057,12.649000000,-1.000000000
Astar,380,2181,38,73771,2.231304,19.501000000,14965.000000000
Depth First Search - Iterative,584,2385,38,2426,0.295278,20.634000000,-1.000000000
Depth First Search - Recursive,584,2385,2384,4999,0.326145,nan,-1.000000000
Breadth First Search - Iterative,584,2385,38,1725,0.241059,19.539000000,-1.000000000
Breadth First Search - Recursive,584,2385,38,2500,0.238758,14.004000000,-1.000000000
Dijkstra,584,2385,48,22516,1.281053,13.186000000,-1.000000000
Astar,584,2385,38,155499,4.760275,19.937000000,14965.000000000
Depth First Search - Iterative,2392,1692,363,365,0.177334,nan,-1.000000000
Depth First Search - Recursive,2392,1692,15,5000,0.294102,2.782000000,-1.000000000
Breadth First Search - Iterative,2392,1692,15,224,0.207827,6.459000000,-1.000000000
Breadth First Search - Recursive,2392,1692,15,2500,0.249502,2.782000000,-1.000000000
Dijkstra,2392,1692,21,274889,7.891797,5.261000000,-1.000000000
Astar,2392,1692,15,15,0.179570,8.068000000,827.000000000
Depth First Search - Iterative,2304,1604,409,2111,0.299707,68.840000000,-1.000000000
Depth First Search - Iterative,904,204,1081,1439,0.320407,nan,-1.000000000
Depth First Search - Iterative,2005,1305,617,620,0.304723,nan,-1.000000000
Depth First Search - Iterative,605,2406,38,2426,0.345947,15.354000000,-1.000000000
Depth First Search - Iterative,1706,1006,725,1816,0.282278,6222165904104975398003987844935444446024659890309174448473973234348161929090453573042892779353739878325540785104969963119333794582417790242117888091956316934565062299400048297392184217007397596833345289619926345593232520744682913792.000000000,-1.000000000
