Depth First Search - Iterative,86,1887,38,2426,0.258396,16.254,-1
Depth First Search - Iterative,1187,487,987,987,0.243362,nan,-1
Depth First Search - Iterative,2288,1588,447,448,0.185547,nan,-1
Depth First Search - Iterative,888,188,1161,1162,0.250867,435.8818945,-1
Depth First Search - Iterative,1989,1289,575,575,0.205017,3.1111E+231,-1
Depth First Search - Iterative,589,2390,38,2426,0.307794,14.194,-1
Depth First Search - Iterative,1690,990,749,750,0.212769,233.163,-1
Depth First Search - Iterative,290,2091,38,2426,0.295349,15.527,-1
Depth First Search - Iterative,1391,691,877,877,0.218665,296.844,-1
Depth First Search - Iterative,2492,1792,337,337,0.180932,32.689,-1
Depth First Search - Iterative,1092,392,1051,1052,0.254906,394.258,-1
Depth First Search - Iterative,2193,1493,461,464,0.185403,91.549,-1
Depth First Search - Iterative,793,93,1175,1178,0.244833,-6.2222E+231,-1
Depth First Search - Iterative,1894,1194,639,640,0.199265,5.3736E+154,-1
Depth First Search - Iterative,494,2295,38,2426,0.302468,14.641,-1
Depth First Search - Iterative,1595,895,759,762,0.205177,242.789,-1
Depth First Search - Iterative,195,1996,38,2426,0.286105,20.159,-1
Depth First Search - Iterative,1296,596,941,942,0.223598,334.097,-1
Depth First Search - Iterative,2397,1697,343,346,0.180795,33.911,-1
Depth First Search - Iterative,997,297,1057,1060,0.231165,392.568,-1
Depth First Search - Iterative,2098,1398,529,530,0.201839,124.817,-1
Depth First Search - Iterative,698,2499,38,38,0.17162,12.094,-1
Depth First Search - Iterative,1799,1099,721,723,0.209569,nan,-1
Depth First Search - Iterative,399,2200,38,2426,0.280426,14.502,-1
Depth First Search - Iterative,1500,800,917,918,0.217842,nan,-1
Depth First Search - Iterative,100,1901,297,2216,0.290858,19.259,-1
Depth First Search - Iterative,1201,501,1027,1027,0.244787,376.844,-1
Depth First Search - Iterative,2302,1602,409,2107,0.277029,68.286,-1
Depth First Search - Iterative,902,202,1109,1407,0.261325,-2.6868E+154,-1
Depth First Search - Iterative,2003,1303,607,619,0.196706,nan,-1
Depth First Search - Iterative,603,2404,38,2426,0.284673,13.841,-1
Depth First Search - Iterative,1704,1004,697,1823,0.271857,216.605,-1
Depth First Search - Iterative,304,2105,38,2426,0.282088,17.045,-1
Depth First Search - Iterative,1405,705,923,926,0.220822,330.669,-1
Depth First Search - Iterative,5,1806,38,2427,0.291312,18.512,-1
Depth First Search - Iterative,1106,406,1031,1522,0.265446,377.85,-1
Depth First Search - Iterative,2207,1507,515,520,0.189665,-2.6868E+154,-1
Depth First Search - Iterative,807,107,1229,1234,0.253514,nan,-1
Depth First Search - Iterative,1908,1208,625,1914,0.274508,nan,-1
Depth First Search - Iterative,508,2309,38,2426,0.289382,13.507,-1
Depth First Search - Iterative,1609,909,823,825,0.209854,282.416,-1
Depth First Search - Iterative,209,2010,38,2426,0.288141,17.192,-1
Depth First Search - Iterative,1310,610,931,1620,0.28153,332.785,-1
Depth First Search - Iterative,2411,1711,413,413,0.185338,62.152,-1
Depth First Search - Iterative,1011,311,1127,1127,0.24116,436.39,-1
Depth First Search - Iterative,2112,1412,523,2012,0.27845,-3.1111E+231,-1
Depth First Search - Iterative,712,12,1237,1314,0.262601,nan,-1
Depth First Search - Iterative,1813,1113,715,715,0.202445,nan,-1
Depth First Search - Iterative,413,2214,38,2426,0.316331,14.352,-1
Depth First Search - Iterative,1514,814,829,1718,0.272962,272.952,-1
Depth First Search - Iterative,114,1915,38,2426,0.288896,15.446,-1
Depth First Search - Iterative,1215,515,1017,1017,0.232838,3.105E+231,-1
Depth First Search - Iterative,2316,1616,421,2110,0.277728,75.089,-1
Depth First Search - Iterative,916,216,1135,1424,0.260977,nan,-1
Depth First Search - Iterative,2017,1317,605,605,0.195295,nan,-1
Depth First Search - Iterative,617,2418,38,2426,0.292419,14.457,-1
Depth First Search - Iterative,1718,1018,727,1816,0.27389,2.6868E+154,-1
Depth First Search - Iterative,318,2119,38,2426,0.284632,18.47,-1
Depth First Search - Iterative,1419,719,907,907,0.22015,323.865,-1
Depth First Search - Iterative,19,1820,38,2427,0.256179,17.542,-1
Depth First Search - Iterative,1120,420,1033,1522,0.26938,nan,-1
Depth First Search - Iterative,2221,1521,495,495,0.18614,nan,-1
Depth First Search - Iterative,821,121,1209,1209,0.283041,nan,-1
Depth First Search - Iterative,1922,1222,625,1914,0.275242,175.41,-1
Depth First Search - Iterative,522,2323,38,2426,0.284978,14.019,-1
Depth First Search - Iterative,1623,923,797,797,0.209756,261.754,-1
Depth First Search - Iterative,223,2024,38,2426,0.285196,18.038,-1
Depth First Search - Iterative,1324,624,931,1620,0.269708,-3.1111E+231,-1
Depth First Search - Iterative,2425,1725,385,385,0.178763,2.6868E+154,-1
Depth First Search - Iterative,1025,325,1099,1099,0.235999,2.6868E+154,-1
Depth First Search - Iterative,2126,1426,523,2012,0.278003,2.32035E+77,-1
Depth First Search - Iterative,726,26,1237,1286,0.257128,nan,-1
Depth First Search - Iterative,1827,1127,687,687,0.198192,210.479,-1
Depth First Search - Iterative,427,2228,38,2426,0.284806,13.857,-1
Depth First Search - Iterative,1528,828,829,1718,0.273879,-2.32035E+77,-1
Depth First Search - Iterative,128,1929,38,2426,0.283197,17.282,-1
Depth First Search - Iterative,1229,529,989,989,0.229404,347.093,-1
Depth First Search - Iterative,2330,1630,421,2110,0.281373,71.512,-1
Depth First Search - Iterative,930,230,1135,1424,0.263564,nan,-1
Depth First Search - Iterative,2031,1331,577,577,0.190855,151.489,-1
Depth First Search - Iterative,631,2432,38,2426,0.28316,13.064,-1
Depth First Search - Iterative,1732,1032,727,1816,0.271538,224.936,-1
Depth First Search - Iterative,332,2133,38,2426,0.286528,15.823,-1
Depth First Search - Iterative,1433,733,879,879,0.217667,295.761,-1
Depth First Search - Iterative,33,1834,38,2427,0.259286,18.816,-1
Depth First Search - Iterative,1134,434,1033,1522,0.261322,3.1111E+231,-1
Depth First Search - Iterative,2235,1535,467,467,0.186308,nan,-1
Depth First Search - Iterative,835,135,1181,1181,0.24753,-3.1111E+231,-1
Depth First Search - Iterative,1936,1236,625,1914,0.287005,-2.32035E+77,-1
Depth First Search - Iterative,536,2337,38,2426,0.316387,15.368,-1
Depth First Search - Iterative,1637,937,769,769,0.254467,244.032,-1
Depth First Search - Iterative,237,2038,38,2426,0.333164,18.777,-1
Depth First Search - Iterative,1338,638,931,1620,0.28385,322.927,-1
Depth First Search - Iterative,2439,1739,357,357,0.189976,40.937,-1
Depth First Search - Iterative,1039,339,1071,1071,0.235044,398.37,-1
Depth First Search - Iterative,2140,1440,523,2012,0.277426,118.822,-1
Depth First Search - Iterative,740,40,1237,1258,0.255924,nan,-1
Depth First Search - Iterative,1841,1141,659,659,0.206499,nan,-1
Depth First Search - Iterative,441,2242,38,2426,0.287945,15.791,-1
Depth First Search - Iterative,1542,842,829,1718,0.271292,nan,-1
Depth First Search - Recursive,86,1887,1886,5000,0.298476,933.947,-1
Depth First Search - Recursive,1187,487,15,10000,0.29701,6.965,-1
Depth First Search - Recursive,2288,1588,15,15000,0.290785,4.516,-1
Depth First Search - Recursive,888,188,15,20000,0.321809,8.198,-1
Depth First Search - Recursive,1989,1289,15,25000,0.298155,6.127,-1
Depth First Search - Recursive,589,2390,2390,30000,0.296524,nan,-1
Depth First Search - Recursive,1690,990,15,35000,0.288376,6.988,-1
Depth First Search - Recursive,290,2091,2090,40000,0.290851,nan,-1
Depth First Search - Recursive,1391,691,15,45000,0.290899,7.463,-1
Depth First Search - Recursive,2492,1792,15,50000,0.272154,1.399,-1
Depth First Search - Recursive,1092,392,15,55000,0.293971,6.791,-1
Depth First Search - Recursive,2193,1493,15,60000,0.291213,4.349,-1
Depth First Search - Recursive,793,93,15,65000,0.291944,5.917,-1
Depth First Search - Recursive,1894,1194,15,70000,0.292846,6.738,-1
Depth First Search - Recursive,494,2295,2294,75000,0.291166,nan,-1
Depth First Search - Recursive,1595,895,15,80000,0.299854,8.17,-1
Depth First Search - Recursive,195,1996,1996,85000,0.293977,nan,-1
Depth First Search - Recursive,1296,596,15,90000,0.291142,4.59,-1
Depth First Search - Recursive,2397,1697,15,95000,0.290488,nan,-1
Depth First Search - Recursive,997,297,15,100000,0.287658,8.91,-1
Depth First Search - Recursive,2098,1398,15,105000,0.2881,nan,-1
Depth First Search - Recursive,698,2499,2498,110000,0.290908,nan,-1
Depth First Search - Recursive,1799,1099,15,115000,0.287547,5.95,-1
Depth First Search - Recursive,399,2200,2192,120000,0.286341,nan,-1
Depth First Search - Recursive,1500,800,15,125000,0.292542,7.324,-1
Depth First Search - Recursive,100,1901,1949,130000,0.316343,961.143,-1
Depth First Search - Recursive,1201,501,15,135000,0.293551,6.06,-1
Depth First Search - Recursive,2302,1602,15,140000,0.297265,3.188,-1
Depth First Search - Recursive,902,202,15,145000,0.288374,7.244,-1
Depth First Search - Recursive,2003,1303,15,150000,0.285561,5.159,-1
Depth First Search - Recursive,603,2404,2436,155000,0.289428,992.7,-1
Depth First Search - Recursive,1704,1004,15,160000,0.290949,6.071,-1
Depth First Search - Recursive,304,2105,2136,165000,0.293103,nan,-1
Depth First Search - Recursive,1405,705,15,170000,0.287048,8.75,-1
Depth First Search - Recursive,5,1806,1836,175000,0.292294,907.625,-1
Depth First Search - Recursive,1106,406,15,180000,0.287907,4.065,-1
Depth First Search - Recursive,2207,1507,15,185000,0.286426,5.064,-1
Depth First Search - Recursive,807,107,15,190000,0.290181,6.462,-1
Depth First Search - Recursive,1908,1208,15,195000,0.2879,6.523,-1
Depth First Search - Recursive,508,2309,2336,200000,0.291276,nan,-1
Depth First Search - Recursive,1609,909,15,205000,0.291149,6.744,-1
Depth First Search - Recursive,209,2010,2036,210000,0.293056,nan,-1
Depth First Search - Recursive,1310,610,15,215000,0.287416,4.994,-1
Depth First Search - Recursive,2411,1711,15,220000,0.288501,3.506,-1
Depth First Search - Recursive,1011,311,15,225000,0.292095,7.416,-1
Depth First Search - Recursive,2112,1412,15,230000,0.290685,5.761,-1
Depth First Search - Recursive,712,12,15,235000,0.291342,4.285,-1
Depth First Search - Recursive,1813,1113,15,240000,0.286555,7.494,-1
Depth First Search - Recursive,413,2214,2236,245000,0.288721,nan,-1
Depth First Search - Recursive,1514,814,15,250000,0.289684,8.665,-1
Depth First Search - Recursive,114,1915,1936,255000,0.293382,957.229,-1
Depth First Search - Recursive,1215,515,15,260000,0.293077,6.564,-1
